_id,id_annuncio,link_annuncio,vehicle,vehicle_user_desc,asking_price,km,registration,year,address,status,previous_owners,transmission,fuel,fuel_consumption,emissions_gCO2/km,seller,Column 18,Column 19,Column 20
"ObjectId(""5eff3b6c156a97c639b6f8da"")",3c86029a-ea1a-4d1d-b5c2-57f221f03deb,https://www.autoscout24.it/annunci/nissan-leaf-business-40-kwh-rottamazionestatale2019-elettrica-grigio-3c86029a-ea1a-4d1d-b5c2-57f221f03deb?cldtidx=16&cldtsrc=listPage,Nissan Leaf,Business 40 kWh #ROTTAMAZIONESTATALE2019,€ 29.500,1,-/- (Anno),-,124,Nuovo,0,Manuale,Elettrica,-/- (l/100 km),0,Sina Spa,IT,33170 Pordenone - Pn,
"ObjectId(""5eff3b6c156a97c639b6f8db"")",a87c55f5-07cc-47a2-84dc-064e57a20e49,https://www.autoscout24.it/annunci/renault-zoe-zoe-life-elettrica-bianco-a87c55f5-07cc-47a2-84dc-064e57a20e49?cldtidx=17&cldtsrc=listPage,Renault ZOE,ZOE Life,€ 9.700,57212,05/2015,2015,59,Aziendale,1,Manuale,Elettrica,-/- (l/100 km),0,International G.C. Motors Srl,IT,86100 Campobasso - CB,
"ObjectId(""5eff3b6c156a97c639b6f8dc"")",0ea207a5-a135-4a4f-a5d9-065f78f0abbe,https://www.autoscout24.it/annunci/nissan-leaf-business-40-kwh-rottamazionestatale2019-elettrica-grigio-0ea207a5-a135-4a4f-a5d9-065f78f0abbe?cldtidx=19&cldtsrc=listPage,Nissan Leaf,Business 40 kWh #ROTTAMAZIONESTATALE2019,€ 29.500,1,-/- (Anno),-,124,Nuovo,0,Manuale,Elettrica,-/- (l/100 km),0,Sina Spa Mestre-Venezia,IT,30173 Mestre - Venezia,
"ObjectId(""5eff3b6c156a97c639b6f8dd"")",762184a8-f25e-b742-e053-0100007f3a55,https://www.autoscout24.it/annunci/tesla-model-s-model-s-75d-elettrica-bianco-762184a8-f25e-b742-e053-0100007f3a55?cldtidx=20&cldtsrc=listPage,Tesla Model S,Model S 75D,€ 60.000,43000,09/2016,2016,52,Usato,0,Automatico,Elettrica,-/- (l/100 km),0,Privato, ,IT,61013 Italia
"ObjectId(""5eff3b6c156a97c639b6f8de"")",f1b2397d-1735-437b-a688-455ffdd77cec,https://www.autoscout24.it/annunci/bmw-i3-s-120-ah-advantage-elettrica-grigio-f1b2397d-1735-437b-a688-455ffdd77cec?cldtidx=1&cldtsrc=listPage,BMW i3,S 120 Ah Advantage,€ 38.900,8596,09/2019,2019,103,Usato,1,Automatico,Elettrica,-/- (l/100 km),"0 g CO2/km (comb.) 2""]",Autoexclusive & Limo’s rent,IT,51100 Pistoia - Pt,
"ObjectId(""5eff3b6c156a97c639b6f8df"")",d681afb5-7c32-4b06-954d-d88e52d15d87,https://www.autoscout24.it/annunci/ford-kuga-2-5-plug-in-hybrid-225-cv-cvt-2wd-titanium-elettrica-nero-d681afb5-7c32-4b06-954d-d88e52d15d87?cldtidx=2&cldtsrc=listPage,Ford Kuga,2.5 Plug In Hybrid 225 CV CVT 2WD Titanium,€ 33.500,10,02/2020,2020,22,KM0,0,Automatico,Elettrica,-/- (l/100 km),"0 g CO2/km (comb.) 2""]",Concorde,IT,16138 Genova - Ge,
"ObjectId(""5eff3b6c156a97c639b6f8e0"")",bfbed825-9175-4760-b906-73cc0674e503,https://www.autoscout24.it/annunci/nissan-leaf-tekna-40-kwh-propilot-park-elettrica-grigio-bfbed825-9175-4760-b906-73cc0674e503?cldtidx=18&cldtsrc=listPage,Nissan Leaf,Tekna 40 kWh ProPilot Park,€ 29.990,0,07/2020,2020,124,KM0,0,Automatico,Elettrica,-/- (l/100 km),0,Sina Spa Mestre-Venezia,IT,30173 Mestre - Venezia,
"ObjectId(""5eff3b6c156a97c639b6f8e1"")",e6380425-7c3b-42e1-892c-2e6c26100169,https://www.autoscout24.it/annunci/volkswagen-up-e-82-cv-elettrica-bianco-e6380425-7c3b-42e1-892c-2e6c26100169?cldtidx=4&cldtsrc=listPage,Volkswagen up!,e- 82 CV,€ 24.500,10,01/2020,2020,84,KM0,0,Automatico,Elettrica,"12,9 l/100 km (comb.) 2","0 g CO2/km (comb.) 2""]",Sciotto Automobili,IT,98042 Pace del Mela - Messina - Me,
"ObjectId(""5eff3b6c156a97c639b6f8e2"")",257d1ed2-d373-4a73-accc-ceaa1ead9d93,https://www.autoscout24.it/annunci/ford-kuga-2-5-plug-in-hybrid-225-cv-cvt-2wd-st-line-x-elettrica-blu-azzurro-257d1ed2-d373-4a73-accc-ceaa1ead9d93?cldtidx=5&cldtsrc=listPage,Ford Kuga,2.5 Plug In Hybrid 225 CV CVT 2WD ST-Line X,€ 38.629,5,02/2020,2020,91,Usato,0,Automatico,Elettrica,-/- (l/100 km),"0 g CO2/km (comb.) 2""]",Interauto S.p.a.,IT,20060 Liscate - Mi,
"ObjectId(""5eff3b6c156a97c639b6f8e3"")",ee9be989-8650-41d0-947c-3c7b858cd343,https://www.autoscout24.it/annunci/smart-fortwo-electric-drive-elettrica-bianco-ee9be989-8650-41d0-947c-3c7b858cd343?cldtidx=6&cldtsrc=listPage,smart forTwo,electric drive,€ 8.900,49995,01/2015,2015,55,Aziendale,0,Manuale,Elettrica,-/- (l/100 km),"0 g CO2/km (comb.) 2""]",Gino Spa,IT,12100 Cuneo - Cn,
