_id,id_annuncio,link_annuncio,vehicle,vehicle_user_desc,asking_price,vehicle_data,seller,country,address
ObjectId("5eff3b6c156a97c639b6f7bd"),28baa281-a23b-4e42-9f22-c457f161fda1,https://www.autoscout24.it/annunci/smart-fortwo-eq-passion-elettrica-italiana-unico-proporietario-elettrica-bianco-28baa281-a23b-4e42-9f22-c457f161fda1?cldtidx=12&cldtsrc=listPage,smart forTwo,EQ PASSION ELETTRICA ITALIANA UNICO PROPORIETARIO,€ 17.900,- 12,"["7.000 km","04/2018","41 kW (56 CV)","Aziendale","1 proprietario","Automatico","Elettrica","-/- (l/100 km)","0 g CO2/km (comb.) 4"]",Emauto,IT,00189 Roma - Rm
ObjectId("5eff3b6c156a97c639b6f7be"),ae198071-67f0-4246-9e03-ce82ded9e7a0,https://www.autoscout24.it/annunci/nissan-leaf-40kwh-tekna-elettrica-blu-azzurro-ae198071-67f0-4246-9e03-ce82ded9e7a0?cldtidx=13&cldtsrc=listPage,Nissan Leaf,40KWH TEKNA,€ 29.900,- 12,"["- km","-/- (Anno)","90 kW (122 CV)","Nuovo","-/- (Proprietari)","Automatico","Elettrica","-/- (l/100 km)","0 g CO2/km (comb.) 4"]",Gruppo Brandini,IT,50019 Sesto Fiorentino - Firenze
ObjectId("5eff3b6c156a97c639b6f7bf"),57e5e60e-be9e-43b7-a8ae-fa6cbf80c11a,https://www.autoscout24.it/annunci/peugeot-2008-2008-motore-elettrico-136-cv-gt-line-elettrica-blu-azzurro-57e5e60e-be9e-43b7-a8ae-fa6cbf80c11a?cldtidx=14&cldtsrc=listPage,Peugeot 2008,2008 motore elettrico 136 CV GT Line,€ 32.900,- 12,"["5 km","06/2020","57 kW (77 CV)","Dimostrativo","1 proprietario","Automatico","Elettrica","-/- (l/100 km)","0 g CO2/km (comb.) 4"]",Mattarollo Motori s.r.l,IT,31100 Lancenigo di Villorba - Treviso - Tv
ObjectId("5eff3b6c156a97c639b6f7c0"),02b2ea18-4101-4e45-85d2-ba5cdd99c6d5,https://www.autoscout24.it/annunci/peugeot-2008-2008-motore-elettrico-136-cv-gt-elettrica-blu-azzurro-02b2ea18-4101-4e45-85d2-ba5cdd99c6d5?cldtidx=15&cldtsrc=listPage,Peugeot 2008,2008 motore elettrico 136 CV GT,€ 33.900,- 12,"["5 km","06/2020","57 kW (77 CV)","Dimostrativo","-/- (Proprietari)","Automatico","Elettrica","-/- (l/100 km)","0 g CO2/km (comb.) 4"]",Mattarollo Motori s.r.l,IT,31100 Lancenigo di Villorba - Treviso - Tv
ObjectId("5eff3b6c156a97c639b6f7c1"),8fa65650-467a-4d46-8eee-edc7b454cb48,https://www.autoscout24.it/annunci/peugeot-2008-2008-motore-elettrico-136-cv-allure-elettrica-bianco-8fa65650-467a-4d46-8eee-edc7b454cb48?cldtidx=16&cldtsrc=listPage,Peugeot 2008,2008 motore elettrico 136 CV Allure,€ 31.990,- 12,"["5 km","06/2020","57 kW (77 CV)","Dimostrativo","1 proprietario","Automatico","Elettrica","-/- (l/100 km)","0 g CO2/km (comb.) 4"]",Mattarollo Motori s.r.l,IT,31100 Lancenigo di Villorba - Treviso - Tv
ObjectId("5eff3b6c156a97c639b6f7c2"),6c4ccdf6-e451-44e9-a122-1fb383c770a8,https://www.autoscout24.it/annunci/peugeot-208-208-motore-elettrico-136-cv-5-porte-gt-line-elettrica-blu-azzurro-6c4ccdf6-e451-44e9-a122-1fb383c770a8?cldtidx=17&cldtsrc=listPage,Peugeot 208,208 motore elettrico 136 CV 5 porte GT Line,€ 27.899,- 12,"["5 km","06/2020","57 kW (77 CV)","Dimostrativo","-/- (Proprietari)","Automatico","Elettrica","-/- (l/100 km)","0 g CO2/km (comb.) 4"]",Mattarollo Motori s.r.l,IT,31100 Lancenigo di Villorba - Treviso - Tv
ObjectId("5eff3b6c156a97c639b6f7c3"),7d7b48ea-b10a-41d2-bc74-28edf878930f,https://www.autoscout24.it/annunci/renault-zoe-r90-flex-elettrica-bianco-7d7b48ea-b10a-41d2-bc74-28edf878930f?cldtidx=18&cldtsrc=listPage,Renault ZOE,R90 Flex,€ 10.990,- 2,"["25.000 km","06/2018","43 kW (58 CV)","Usato","1 proprietario","Automatico","Elettrica","-/- (l/100 km)","0 g CO2/km (comb.) 4"]",Land Cars Srl,IT,29122 Piacenza - PC
ObjectId("5eff3b6c156a97c639b6f7c4"),141d1cbd-bd5f-4230-95ef-62761f1f99c3,https://www.autoscout24.it/annunci/bmw-i3-elettrica-argento-141d1cbd-bd5f-4230-95ef-62761f1f99c3?cldtidx=19&cldtsrc=listPage,BMW i3,,€ 17.746,- 2,"["37.215 km","12/2015","125 kW (170 CV)","Usato","1 proprietario","Automatico","Elettrica","-/- (l/100 km)","0 g CO2/km (comb.) 4"]",BMW ROMA SRL,IT,00138 Roma - Rm
ObjectId("5eff3b6c156a97c639b6f7c5"),be8549b3-18da-4098-9f61-e99094246fd2,https://www.autoscout24.it/annunci/smart-fortwo-eq-parisblue-22kw-elettrica-blu-azzurro-be8549b3-18da-4098-9f61-e99094246fd2?cldtidx=6&cldtsrc=listPage,smart forTwo,EQ Parisblue (22kW),€ 24.900,- 12,"["- km","-/- (Anno)","41 kW (56 CV)","Nuovo","-/- (Proprietari)","Automatico","Elettrica","-/- (l/100 km)","0 g CO2/km (comb.) 4"]",City Car Srl,IT,50019 Sesto Fiorentino - Firenze - Fi
ObjectId("5eff3b6c156a97c639b6f7c6"),961c1257-ea16-47ae-9055-c87387d79cb0,https://www.autoscout24.it/annunci/renault-others-twizy-80-elettrica-bianco-961c1257-ea16-47ae-9055-c87387d79cb0?cldtidx=20&cldtsrc=listPage,Renault,twizy 80,€ 4.600,- 12,"["35.000 km","05/2018","8 kW (11 CV)","Usato","1 proprietario","-/- (Tipo di cambio)","Elettrica","-/- (l/100 km)","0 g CO2/km (comb.) 4"]",Aquarama Boats & Cars,IT,06135 Perugia
